id,X,Y,Z,rc,assigned,tracker_idx,row_side,Tracker_ID,NCU,GW,TCU,PS,NCU_ACCIONA,GRUPO,Tracker_Xref,Tracker_Yref,dx_ref,dy_ref,mesa,m_side,corner
81,200912.522,8162515.542,1566.549,1007.0,True,503.0,W,TR-04_1-022,5.0,1.0,22.0,04_1,MU-04_1-17,4.0,200918.6955,8162478.244,-6.174,37.298,1,N,NW
82,200912.532,8162478.813,1567.4,1007.0,True,503.0,W,TR-04_1-022,5.0,1.0,22.0,04_1,MU-04_1-17,4.0,200918.6955,8162478.244,-6.163,0.569,1,S,SW
83,200912.502,8162477.745,1567.399,1007.0,True,503.0,W,TR-04_1-022,5.0,1.0,22.0,04_1,MU-04_1-17,4.0,200918.6955,8162478.244,-6.193,-0.499,2,N,NW
84,200918.72,8162478.501,1567.319,1006.0,True,503.0,E,TR-04_1-022,5.0,1.0,22.0,04_1,MU-04_1-17,4.0,200918.6955,8162478.244,0.024,0.257,1,S,SE
85,200918.705,8162477.701,1567.343,1006.0,True,503.0,E,TR-04_1-022,5.0,1.0,22.0,04_1,MU-04_1-17,4.0,200918.6955,8162478.244,0.009,-0.543,2,N,NE
86,200918.79,8162440.961,1567.745,1006.0,True,503.0,E,TR-04_1-022,5.0,1.0,22.0,04_1,MU-04_1-17,4.0,200918.6955,8162478.244,0.095,-37.283,2,S,SE
87,200918.77,8162440.336,1567.496,1036.0,True,518.0,E,TR-04_1-037,5.0,1.0,37.0,04_1,MU-04_1-17,4.0,200918.6955,8162403.138,0.074,37.198,1,N,NE
88,200912.551,8162441.064,1567.186,1007.0,True,503.0,W,TR-04_1-022,5.0,1.0,22.0,04_1,MU-04_1-17,4.0,200918.6955,8162478.244,-6.144,-37.18,2,S,SW
89,200912.597,8162440.487,1566.872,1037.0,True,518.0,W,TR-04_1-037,5.0,1.0,37.0,04_1,MU-04_1-17,4.0,200918.6955,8162403.138,-6.098,37.349,1,N,NW
90,200912.528,8162366.037,1568.064,1037.0,True,518.0,W,TR-04_1-037,5.0,1.0,37.0,04_1,MU-04_1-17,4.0,200918.6955,8162403.138,-6.168,-37.101,2,S,SW
91,200912.519,8162365.327,1567.789,1069.0,True,534.0,W,TR-04_1-053,5.0,1.0,53.0,04_1,MU-04_1-17,4.0,200918.6955,8162328.032,-6.177,37.295,1,N,NW
92,200918.746,8162365.897,1568.372,1036.0,True,518.0,E,TR-04_1-037,5.0,1.0,37.0,04_1,MU-04_1-17,4.0,200918.6955,8162403.138,0.051,-37.241,2,S,SE
93,200918.736,8162365.215,1568.125,1068.0,True,534.0,E,TR-04_1-053,5.0,1.0,53.0,04_1,MU-04_1-17,4.0,200918.6955,8162328.032,0.041,37.183,1,N,NE
94,200918.73,8162328.304,1567.261,1068.0,True,534.0,E,TR-04_1-053,5.0,1.0,53.0,04_1,MU-04_1-17,4.0,200918.6955,8162328.032,0.035,0.272,1,S,SE
95,200918.713,8162327.522,1567.264,1068.0,True,534.0,E,TR-04_1-053,5.0,1.0,53.0,04_1,MU-04_1-17,4.0,200918.6955,8162328.032,0.017,-0.51,2,N,NE
96,200918.766,8162290.794,1568.326,1068.0,True,534.0,E,TR-04_1-053,5.0,1.0,53.0,04_1,MU-04_1-17,4.0,200918.6955,8162328.032,0.071,-37.238,2,S,SE
